fit_class,pred_class,r2,mae,rmse
ENF,ENF,0.6,1.55,4.73
ENF,DBF,0.6,1.99,8.7
ENF,GRA,0.6,1.42,5.46
ENF,MF,0.54,1.86,7.33
DBF,ENF,0.35,1.98,7.65
DBF,DBF,0.64,1.68,7.78
DBF,GRA,0.36,1.83,8.79
DBF,MF,0.61,1.64,6.14
GRA,ENF,0.44,1.76,6.57
GRA,DBF,-0.25,3.22,27.14
GRA,GRA,0.56,1.49,6.05
GRA,MF,-0.47,2.92,23.35
MF,ENF,0.41,1.92,6.92
MF,DBF,0.64,1.77,7.82
MF,GRA,0.36,1.99,8.78
MF,MF,0.64,1.61,5.76
