fit_class,pred_class,r2,mae,rmse
ENF,ENF,0.79,1.07,2.43
ENF,DBF,0.83,1.24,3.67
ENF,GRA,0.72,1.24,3.85
ENF,MF,0.78,1.29,3.44
DBF,ENF,0.19,2.07,9.46
DBF,DBF,0.87,1.05,2.86
DBF,GRA,0.27,1.79,10.01
DBF,MF,0.73,1.43,4.33
GRA,ENF,0.65,1.42,4.04
GRA,DBF,0.77,1.4,4.92
GRA,GRA,0.78,1.05,3.06
GRA,MF,0.62,1.62,5.98
MF,ENF,0.49,1.63,6.01
MF,DBF,0.82,1.27,3.84
MF,GRA,0.33,1.84,9.24
MF,MF,0.8,1.22,3.14
