model,pred_time_train,R2_train,MAE_train,RMSE_train,pred_time_test,R2_test,MAE_test,RMSE_test
ridge_weighted,0.78,0.79,1.08,2.47,0.35,0.78,1.09,2.54
ridge_weighted_2,0.02,0.6,1.55,4.02,0.02,0.68,1.46,3.65
rf_weighted,8.79,0.98,0.29,0.21,3.31,0.9,0.69,1.14
rf_weighted_2,2.35,0.75,1.21,2.55,1.02,0.82,0.99,2.13
ridge_unweighted,0.78,0.77,1.11,2.58,0.36,0.76,1.12,2.64
ridge_unweighted_dummy,0.73,0.54,1.6,4.21,0.31,0.65,1.49,3.9
rf_weighted_standard,1.86,0.86,0.87,1.66,0.81,0.84,0.9,1.8
ridge_unweighted_kfold,0.83,0.77,1.11,2.58,0.37,0.76,1.12,2.64
