fit_class,pred_class,r2,mae,rmse
ENF,ENF,0.92,0.63,0.94
ENF,DBF,0.83,1.33,3.78
ENF,GRA,0.75,1.29,3.46
ENF,MF,0.79,1.27,3.33
DBF,ENF,0.6,1.51,4.69
DBF,DBF,0.95,0.58,0.98
DBF,GRA,0.63,1.37,5.06
DBF,MF,0.76,1.33,3.77
GRA,ENF,0.65,1.37,4.13
GRA,DBF,0.75,1.42,5.53
GRA,GRA,0.94,0.51,0.83
GRA,MF,0.66,1.51,5.39
MF,ENF,0.65,1.38,4.08
MF,DBF,0.85,1.11,3.15
MF,GRA,0.16,2.37,11.5
MF,MF,0.96,0.5,0.67
