fit_class,pred_class,r2,mae,rmse
ENF,ENF,0.87,0.81,1.52
ENF,DBF,0.81,1.36,4.04
ENF,GRA,0.74,1.26,3.5
ENF,MF,0.78,1.29,3.43
DBF,ENF,0.47,1.71,6.15
DBF,DBF,0.92,0.82,1.78
DBF,GRA,0.52,1.53,6.56
DBF,MF,0.75,1.37,3.96
GRA,ENF,0.18,2.05,9.61
GRA,DBF,0.52,1.94,10.35
GRA,GRA,0.88,0.77,1.67
GRA,MF,0.33,2.05,10.55
MF,ENF,0.55,1.58,5.22
MF,DBF,0.85,1.14,3.24
MF,GRA,-0.31,3.09,17.91
MF,MF,0.89,0.89,1.72
